
45.0 availRes: Resources: [2176.0 17.0 9898.0 ] : Q size 1440, 9 take 13 milliseconds
45.0 availRes: Resources: [2176.0 17.0 9898.0 ] : Q size 1600, 10 take 14 milliseconds
46.0 availRes: Resources: [2240.0 18.0 9942.0 ] : Q size 160, 1 take 0 milliseconds
46.0 availRes: Resources: [2240.0 18.0 9942.0 ] : Q size 480, 3 take 1 milliseconds
46.0 availRes: Resources: [2240.0 18.0 9942.0 ] : Q size 960, 6 take 4 milliseconds
46.0 availRes: Resources: [2240.0 18.0 9942.0 ] : Q size 1600, 10 take 14 milliseconds
46.0 availRes: Resources: [2240.0 17.0 9940.0 ] : Q size 1440, 9 take 11 milliseconds
46.0 availRes: Resources: [2240.0 17.0 9940.0 ] : Q size 1600, 10 take 13 milliseconds
47.0 availRes: Resources: [2272.0 20.0 9972.0 ] : Q size 160, 1 take 0 milliseconds
47.0 availRes: Resources: [2272.0 20.0 9972.0 ] : Q size 480, 3 take 0 milliseconds
47.0 availRes: Resources: [2272.0 19.0 9970.0 ] : Q size 320, 2 take 0 milliseconds
47.0 availRes: Resources: [2272.0 19.0 9970.0 ] : Q size 640, 4 take 2 milliseconds
47.0 availRes: Resources: [2272.0 19.0 9970.0 ] : Q size 1120, 7 take 5 milliseconds
47.0 availRes: Resources: [2272.0 18.0 9968.0 ] : Q size 960, 6 take 4 milliseconds
47.0 availRes: Resources: [2272.0 18.0 9968.0 ] : Q size 1280, 8 take 8 milliseconds
48.0 availRes: Resources: [2400.0 21.0 10048.0 ] : Q size 320, 2 take 0 milliseconds
48.0 availRes: Resources: [2400.0 20.0 10046.0 ] : Q size 160, 1 take 0 milliseconds
48.0 availRes: Resources: [2400.0 20.0 10046.0 ] : Q size 320, 2 take 1 milliseconds
48.0 availRes: Resources: [2400.0 20.0 10046.0 ] : Q size 480, 3 take 1 milliseconds
48.0 availRes: Resources: [2400.0 20.0 10046.0 ] : Q size 800, 5 take 2 milliseconds
48.0 availRes: Resources: [2400.0 20.0 10046.0 ] : Q size 1280, 8 take 9 milliseconds
48.0 availRes: Resources: [2368.0 20.0 10033.0 ] : Q size 1120, 7 take 5 milliseconds
48.0 availRes: Resources: [2336.0 20.0 10022.0 ] : Q size 960, 6 take 4 milliseconds
48.0 availRes: Resources: [2336.0 19.0 10020.0 ] : Q size 800, 5 take 2 milliseconds
49.0 availRes: Resources: [2368.0 22.0 10042.0 ] : Q size 160, 1 take 0 milliseconds
49.0 availRes: Resources: [2368.0 22.0 10042.0 ] : Q size 320, 2 take 1 milliseconds
49.0 availRes: Resources: [2368.0 21.0 10040.0 ] : Q size 480, 3 take 1 milliseconds
49.0 availRes: Resources: [2368.0 20.0 10038.0 ] : Q size 320, 2 take 0 milliseconds
49.0 availRes: Resources: [2368.0 20.0 10038.0 ] : Q size 480, 3 take 1 milliseconds
49.0 availRes: Resources: [2368.0 19.0 10036.0 ] : Q size 320, 2 take 1 milliseconds
49.0 availRes: Resources: [2368.0 19.0 10036.0 ] : Q size 480, 3 take 1 milliseconds
49.0 availRes: Resources: [2368.0 18.0 10034.0 ] : Q size 320, 2 take 0 milliseconds
49.0 availRes: Resources: [2368.0 18.0 10034.0 ] : Q size 640, 4 take 2 milliseconds
49.0 availRes: Resources: [2336.0 18.0 10030.0 ] : Q size 480, 3 take 1 milliseconds
50.0 availRes: Resources: [2336.0 17.0 10018.0 ] : Q size 160, 1 take 1 milliseconds
50.0 availRes: Resources: [2336.0 17.0 10018.0 ] : Q size 160, 1 take 0 milliseconds
50.0 availRes: Resources: [2336.0 17.0 10018.0 ] : Q size 480, 3 take 1 milliseconds
50.0 availRes: Resources: [2336.0 17.0 10018.0 ] : Q size 640, 4 take 1 milliseconds
50.0 availRes: Resources: [2336.0 17.0 10018.0 ] : Q size 640, 4 take 1 milliseconds
