JobId, startTime, endTime, duration, queueName, startRunning, runningTime, isCPU
208,465.0,614.0,149.0,queue8,590.0,24.0,false
245,513.0,621.0,108.0,queue5,597.0,24.0,false
244,513.0,623.0,110.0,queue4,603.0,20.0,false
197,460.0,627.0,167.0,queue7,545.0,82.0,false
231,504.0,630.0,126.0,queue1,557.0,73.0,false
218,487.0,631.0,144.0,queue8,614.0,17.0,false
225,501.0,637.0,136.0,queue5,548.0,89.0,false
234,506.0,639.0,133.0,queue4,549.0,90.0,false
198,460.0,640.0,180.0,queue8,472.0,168.0,false
209,469.0,642.0,173.0,queue9,473.0,169.0,false
255,558.0,642.0,84.0,queue5,621.0,21.0,false
254,526.0,644.0,118.0,queue4,623.0,21.0,false
228,501.0,645.0,144.0,queue8,631.0,14.0,false
229,504.0,648.0,144.0,queue9,597.0,51.0,false
239,513.0,649.0,136.0,queue9,642.0,7.0,false
213,482.0,653.0,171.0,queue3,601.0,52.0,false
260,558.0,655.0,97.0,queue0,607.0,48.0,false
250,518.0,657.0,139.0,queue0,577.0,80.0,false
265,566.0,657.0,91.0,queue5,637.0,20.0,false
222,501.0,659.0,158.0,queue2,614.0,45.0,false
275,586.0,664.0,78.0,queue5,642.0,22.0,false
221,498.0,666.0,168.0,queue1,546.0,120.0,false
249,516.0,666.0,150.0,queue9,648.0,18.0,false
226,501.0,668.0,167.0,queue6,509.0,159.0,false
241,513.0,670.0,157.0,queue1,630.0,40.0,false
217,486.0,671.0,185.0,queue7,606.0,65.0,false
223,501.0,671.0,170.0,queue3,653.0,18.0,false
295,595.0,681.0,86.0,queue5,664.0,17.0,false
285,589.0,683.0,94.0,queue5,657.0,26.0,false
264,563.0,689.0,126.0,queue4,639.0,50.0,false
259,558.0,690.0,132.0,queue9,649.0,41.0,false
233,504.0,696.0,192.0,queue3,671.0,25.0,false
251,520.0,697.0,177.0,queue1,666.0,31.0,false
216,486.0,701.0,215.0,queue6,493.0,208.0,false
237,510.0,703.0,193.0,queue7,671.0,32.0,false
183,430.0,706.0,276.0,queue3,439.0,267.0,false
236,510.0,709.0,199.0,queue6,668.0,41.0,false
247,516.0,714.0,198.0,queue7,703.0,11.0,false
232,504.0,717.0,213.0,queue2,659.0,58.0,false
